Algorithm,Dataset,Type,Size,Threads,EPS,EPS_1T,Speedup
CECI,roadnet,dense,16,8,2087386.3835614151,2947869.8692324925,0.7080999081227718
CECI,roadnet,dense,16,16,2411405.318594826,2947869.8692324925,0.8180162034162857
CECI,roadnet,dense,16,32,1791094.250946593,2947869.8692324925,0.6075893205601108
CECI,roadnet,dense,16,64,2015260.1498546998,2947869.8692324925,0.6836326701149101
CECI,roadnet,dense,32,1,0.071394149249469,0.071394149249469,1.0
CECI,roadnet,dense,32,8,0.07343923270689667,0.071394149249469,1.028644972717325
CECI,roadnet,dense,32,16,0.07339934380986633,0.071394149249469,1.0280862589088453
CECI,roadnet,dense,32,32,0.07533893101590781,0.071394149249469,1.0552535720070668
CECI,roadnet,dense,32,64,0.07371668466582383,0.071394149249469,1.032531172943028
SLF,enron,sparse,8,1,304282.91000000003,304282.91000000003,1.0
SLF,enron,sparse,8,8,867131.2960000001,304282.91000000003,2.8497535270712375
SLF,enron,sparse,8,16,714053.674,304282.91000000003,2.3466768935527793
SLF,enron,sparse,8,32,242448.178,304282.91000000003,0.796785392909513
SLF,enron,sparse,8,64,110231.87,304282.91000000003,0.36226770014786563
SLF,enron,sparse,16,1,294124.646,294124.646,1.0
SLF,enron,sparse,16,8,617481.148,294124.646,2.0993859453722896
SLF,enron,sparse,16,16,509770.07200000004,294124.646,1.7331770014268033
SLF,enron,sparse,16,32,300839.47599999997,294124.646,1.0228298787310737
SLF,enron,sparse,16,64,231993.096,294124.646,0.7887577568049159
SLF,enron,sparse,32,1,173934.772,173934.772,1.0
SLF,enron,sparse,32,8,506868.592,173934.772,2.9141303154725153
SLF,enron,sparse,32,16,432286.80999999994,173934.772,2.485338641775435
SLF,enron,sparse,32,32,203214.49599999998,173934.772,1.1683373810959432
SLF,enron,sparse,32,64,198561.74599999998,173934.772,1.141587410710493
SLF,enron,dense,8,1,142069.598,142069.598,1.0
SLF,enron,dense,8,8,477783.61600000004,142069.598,3.3630250435423914
SLF,enron,dense,8,16,560457.54,142069.598,3.9449505586691394
SLF,enron,dense,8,32,438030.018,142069.598,3.083207274226256
SLF,enron,dense,8,64,206223.212,142069.598,1.451564690145741
SLF,enron,dense,16,1,79532.706,79532.706,1.0
SLF,enron,dense,16,8,296056.18200000003,79532.706,3.7224457319483135
SLF,enron,dense,16,16,130576.53800000002,79532.706,1.6417967471143255
SLF,enron,dense,16,32,195565.392,79532.706,2.4589304430305687
SLF,enron,dense,16,64,157571.088,79532.706,1.9812112013389809
SLF,enron,dense,32,1,42506.471999999994,42506.471999999994,1.0
SLF,enron,dense,32,8,80591.44399999999,42506.471999999994,1.8959805462095278
SLF,enron,dense,32,16,81797.274,42506.471999999994,1.9243486968290386
SLF,enron,dense,32,32,70168.354,42506.471999999994,1.6507687111741483
SLF,enron,dense,32,64,65332.162,42506.471999999994,1.5369932842226945
SLF,dblp,sparse,8,1,670941.1275867688,670941.1275867688,1.0
SLF,dblp,sparse,8,8,4222364.852286523,670941.1275867688,6.293197239932903
SLF,dblp,sparse,8,16,7895167.272039349,670941.1275867688,11.767302595440185
SLF,dblp,sparse,8,32,12754845.415647922,670941.1275867688,19.01037943749903
SLF,dblp,sparse,8,64,15832266.388467375,670941.1275867688,23.597102245636123
SLF,dblp,sparse,16,1,698259.8626104024,698259.8626104024,1.0
SLF,dblp,sparse,16,8,5931368.186258548,698259.8626104024,8.49449968967783
SLF,dblp,sparse,16,16,11665074.365234375,698259.8626104024,16.705921376642213
SLF,dblp,sparse,16,32,17039471.9537986,698259.8626104024,24.4027658844625
SLF,dblp,sparse,16,64,17806514.637326814,698259.8626104024,25.501271934431735
SLF,dblp,sparse,32,1,898830.1439319594,898830.1439319594,1.0
SLF,dblp,sparse,32,8,6586431.943313243,898830.1439319594,7.327782660359719
SLF,dblp,sparse,32,16,12491965.385867795,898830.1439319594,13.898026751997122
SLF,dblp,sparse,32,32,17234814.592833877,898830.1439319594,19.174718059009084
SLF,dblp,sparse,32,64,18266096.31254061,898830.1439319594,20.322078020920642
SLF,dblp,dense,8,1,51437.86614302078,51437.86614302078,1.0
SLF,dblp,dense,8,8,858817.050841916,51437.86614302078,16.69620291895492
SLF,dblp,dense,8,16,2283995.3170731706,51437.86614302078,44.402995076090825
SLF,dblp,dense,8,32,4648027.939255388,51437.86614302078,90.3619898681595
SLF,dblp,dense,8,64,6016073.712516298,51437.86614302078,116.95807317879134
SLF,dblp,dense,16,1,633057.4304418985,633057.4304418985,1.0
SLF,dblp,dense,16,8,5740132.426710098,633057.4304418985,9.067317040577604
SLF,dblp,dense,16,16,11381961.028813284,633057.4304418985,17.979349868570747
SLF,dblp,dense,16,32,16428182.32421875,633057.4304418985,25.950540242061837
SLF,dblp,dense,16,64,17090141.140994295,633057.4304418985,26.996193898339868
SLF,dblp,dense,32,1,1099629.5387634935,1099629.5387634935,1.0
SLF,dblp,dense,32,8,7712487.755435671,1099629.5387634935,7.013714604382285
SLF,dblp,dense,32,16,12365278.048780488,1099629.5387634935,11.244948969527446
SLF,dblp,dense,32,32,16706177.274947094,1099629.5387634935,15.192550478166293
SLF,dblp,dense,32,64,18255265.05376344,1099629.5387634935,16.60128653354569
SLF,livejournal,sparse,8,1,187694.42,187694.42,1.0
SLF,livejournal,sparse,8,8,491326.79,187694.42,2.617695241019951
SLF,livejournal,sparse,8,16,511113.71,187694.42,2.723116169356553
SLF,livejournal,sparse,8,32,245543.14,187694.42,1.3082069248515753
SLF,livejournal,sparse,8,64,226869.36,187694.42,1.2087165937058757
SLF,livejournal,sparse,16,1,159497.62,159497.62,1.0
SLF,livejournal,sparse,16,8,507379.91,159497.62,3.181112733845182
SLF,livejournal,sparse,16,16,200849.4,159497.62,1.2592626773991988
SLF,livejournal,sparse,16,32,209618.8,159497.62,1.3142440620744058
SLF,livejournal,sparse,16,64,91311.07,159497.62,0.5724917400021393
SLF,livejournal,sparse,32,1,139980.5,139980.5,1.0
SLF,livejournal,sparse,32,8,409824.72,139980.5,2.927727219148381
SLF,livejournal,sparse,32,16,174673.13,139980.5,1.2478390204349892
SLF,livejournal,sparse,32,32,156639.07,139980.5,1.1190063616003658
SLF,livejournal,sparse,32,64,57834.69,139980.5,0.41316247620204244
SLF,livejournal,dense,8,1,427420.07,427420.07,1.0
SLF,livejournal,dense,8,8,3493082.4,427420.07,8.172480997441228
SLF,livejournal,dense,8,16,6469291.12,427420.07,15.135674653742862
SLF,livejournal,dense,8,32,9879082.26,427420.07,23.113285859505847
SLF,livejournal,dense,8,64,10363221.13,427420.07,24.245986226149842
SLF,livejournal,dense,16,1,1257431.64,1257431.64,1.0
SLF,livejournal,dense,16,8,4974728.74,1257431.64,3.9562617813561625
SLF,livejournal,dense,16,16,8414995.47,1257431.64,6.692209104902117
SLF,livejournal,dense,16,32,14078567.1,1257431.64,11.196288253093424
SLF,livejournal,dense,16,64,13300951.18,1257431.64,10.57787219351344
SLF,roadnet,dense,8,1,1434999.0914990266,1434999.0914990266,1.0
SLF,roadnet,dense,8,8,4027930.0546448086,1434999.0914990266,2.806921675774135
SLF,roadnet,dense,8,16,4881531.125827814,1434999.0914990266,3.401766004415011
SLF,roadnet,dense,8,32,5025758.181818182,1434999.0914990266,3.502272727272727
SLF,roadnet,dense,8,64,4786436.363636363,1434999.0914990266,3.335497835497835
SLF,roadnet,dense,16,1,782020.2656173144,782020.2656173144,1.0
SLF,roadnet,dense,16,8,2423547.56097561,782020.2656173144,3.0990853658536586
SLF,roadnet,dense,16,16,3532993.777777778,782020.2656173144,4.517777777777778
SLF,roadnet,dense,16,32,3540862.3608017815,782020.2656173144,4.527839643652561
SLF,roadnet,dense,16,64,3868241.3625304135,782020.2656173144,4.94647201946472
SLF,roadnet,dense,32,1,0.7142857142857143,0.7142857142857143,1.0
SLF,roadnet,dense,32,8,0.7722007722007722,0.7142857142857143,1.0810810810810811
SLF,roadnet,dense,32,16,0.9523809523809523,0.7142857142857143,1.3333333333333333
SLF,roadnet,dense,32,32,0.7751937984496123,0.7142857142857143,1.0852713178294573
SLF,roadnet,dense,32,64,0.790513833992095,0.7142857142857143,1.1067193675889329
VF3-O,enron,sparse,8,1,57376.80984919178,57376.80984919178,1.0
VF3-O,enron,sparse,8,8,12426.261624602435,57376.80984919178,0.21657289168330215
VF3-O,enron,sparse,8,16,1587.3444669338517,57376.80984919178,0.02766526182103886
VF3-O,enron,sparse,8,32,756.2733840794737,57376.80984919178,0.013180819673788934
VF3-O,enron,sparse,8,64,382.0752054319514,57376.80984919178,0.006659052785196517
VF3-O,enron,dense,8,1,38244.639883220625,38244.639883220625,1.0
VF3-O,enron,dense,8,8,190131.0594340231,38244.639883220625,4.971443318974506
VF3-O,enron,dense,8,16,2135.7016414547793,38244.639883220625,0.05584316254450582
VF3-O,enron,dense,8,32,781.9816331716053,38244.639883220625,0.020446829557275822
VF3-O,enron,dense,8,64,255.5706992911119,38244.639883220625,0.006682523356776082
VF3-O,dblp,dense,8,1,407.8406285597843,407.8406285597843,1.0
VF3-O,dblp,dense,8,8,9389.263192663271,407.8406285597843,23.021892707991753
VF3-O,dblp,dense,8,16,17442.19852780164,407.8406285597843,42.76719214904023
VF3-O,dblp,dense,16,1,15.956594056231337,15.956594056231337,1.0
